#Frame,Sentiment Label,Sentiment Score
783,Sad,0.89812434
784,Sad,0.8199428
785,Sad,0.5224003
786,Sad,0.7968299
787,Sad,0.76948255
788,Sad,0.7606292
789,Sad,0.7349737
790,Sad,0.7205161
791,Sad,0.71627665
792,Sad,0.8322687
793,Sad,0.80746686
794,Sad,0.8090964
795,Sad,0.8586097
796,Sad,0.79572564
797,Sad,0.81217515
798,Sad,0.7729449
799,Sad,0.7382921
800,Sad,0.7448682
801,Sad,0.830406
802,Sad,0.8072313
803,Sad,0.84126765
804,Sad,0.6683695
805,Sad,0.7193962
806,Sad,0.62096506
807,Sad,0.5797885
808,Sad,0.7827526
809,Sad,0.74381936
810,Sad,0.7236011
811,Sad,0.8167503
812,Sad,0.54621494
813,Sad,0.70462316
814,Sad,0.783242
815,Sad,0.714376
816,Sad,0.59465593
817,Sad,0.69294524
818,Sad,0.7460825
819,Sad,0.7917479
820,Sad,0.71070457
821,Sad,0.71470153
822,Sad,0.6854129
823,Sad,0.7027691
824,Sad,0.7534116
825,Sad,0.6975385
826,Sad,0.6505338
827,Sad,0.6771973
828,Sad,0.5606705
829,Sad,0.5858675
830,Sad,0.44200543
831,Sad,0.52577394
832,Sad,0.45848548
833,Sad,0.5629422
834,Anger,0.4621783
835,Sad,0.52643436
836,Sad,0.6263586
837,Sad,0.6328169
838,Sad,0.6329158
839,Sad,0.7076058
840,Sad,0.7180795
841,Sad,0.70665854
842,Sad,0.751074
843,Sad,0.84531325
844,Sad,0.8131661
845,Sad,0.620239
846,Sad,0.5995042
847,Sad,0.442267
848,Sad,0.7399172
849,Sad,0.6442226
850,Sad,0.38955435
851,Sad,0.3582972
852,Neutral,0.3118724
853,Sad,0.6445141
854,Sad,0.679237
855,Sad,0.7386065
856,Sad,0.76486
857,Sad,0.5260585
858,Sad,0.34660348
859,Sad,0.34888723
860,Sad,0.73327315
861,Sad,0.37229112
862,Sad,0.5388648
863,Sad,0.64644486
864,Sad,0.77950233
865,Sad,0.7699375
866,Sad,0.82820076
867,Sad,0.6900147
868,Sad,0.6909208
869,Sad,0.82080907
870,Sad,0.7380712
871,Sad,0.7772687
872,Sad,0.61612654
873,Sad,0.6471899
874,Sad,0.65639853
875,Sad,0.7080851
876,Sad,0.56404567
877,Sad,0.7630082
878,Sad,0.74638927
879,Sad,0.8276632
880,Sad,0.82196665
881,Sad,0.81865084
882,Sad,0.7992937
883,Sad,0.8258469
884,Sad,0.82667935
885,Sad,0.82667935
886,Sad,0.6425983
887,Sad,0.63343006
888,Sad,0.722545
889,Sad,0.719395
890,Sad,0.5646017
891,Sad,0.43178472
892,Sad,0.6763123
893,Sad,0.6676588
894,Sad,0.7437944
895,Sad,0.53678155
896,Sad,0.6030122
897,Sad,0.7928908
898,Sad,0.75886774
899,Sad,0.7854171
900,Sad,0.80391276
901,Sad,0.7877523
902,Sad,0.78947467
903,Sad,0.8028223
904,Sad,0.7678198
905,Sad,0.74154913
906,Sad,0.84092593
907,Sad,0.7406135
908,Sad,0.77554125
909,Sad,0.43640545
